Month,Day,Hour,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,3,1,13.475006,18.537506,15.475006,14.537506,18.725006,12.853241,21.350006,13.662506,17.662506,11.475006,11.412506,12.912506,19.100006,17.475006,11.100006,19.350006,8.787506,18.662506,14.975006,20.600006,12.287506,15.037506,12.037506,19.537506
January,3,2,13.100006,17.975006,15.537506,14.600006,15.912506,12.496246,20.350006,13.600006,16.600006,11.850006,10.975006,12.662506,17.850006,17.537506,10.975006,18.162506,8.225006,17.850006,13.662506,18.787506,11.350006,14.412506,11.662506,18.100006
January,3,3,11.537506,13.350006,15.162506,13.412506,12.662506,9.946075,16.162506,12.412506,13.100006,10.662506,10.287506,12.037506,15.475006,14.350006,10.787506,15.662506,7.975006,14.725006,11.100006,15.475006,10.787506,12.537506,11.162506,17.600006
January,3,4,11.475006,13.850006,15.037506,13.225006,11.662506,9.36618,15.912506,12.350006,12.537506,11.037506,9.912506,11.725006,14.537506,13.787506,10.600006,14.975006,7.975006,14.100006,11.037506,14.475006,10.475006,12.225006,10.662506,16.787506
January,3,5,11.350006,13.100006,14.975006,13.162506,10.725006,9.443512,15.600006,12.225006,11.600006,10.850006,9.850006,11.725006,13.850006,12.975006,10.662506,14.162506,7.412506,14.412506,10.537506,13.975006,9.412506,11.975006,10.725006,16.662506
January,3,6,11.100006,12.662506,14.975006,12.662506,10.787506,9.416565,14.662506,11.912506,11.412506,10.162506,9.787506,11.662506,13.537506,12.975006,10.412506,13.662506,7.412506,13.975006,9.787506,13.537506,9.100006,11.600006,10.600006,16.225006
January,3,7,11.100006,12.475006,15.037506,13.225006,10.350006,9.20755,13.537506,12.225006,11.412506,10.350006,9.725006,11.225006,12.912506,13.350006,10.350006,13.350006,7.037506,13.850006,9.162506,13.100006,8.600006,11.162506,10.412506,15.787506
January,3,8,11.225006,11.037506,15.100006,12.912506,10.225006,8.810394,12.975006,11.850006,11.350006,10.537506,9.662506,11.225006,12.225006,13.225006,10.350006,12.662506,7.037506,14.037506,8.037506,12.287506,8.412506,10.850006,9.912506,15.225006
January,3,9,9.787506,9.787506,14.600006,11.162506,9.412506,7.3359375,11.350006,11.037506,9.287506,9.225006,9.725006,11.225006,11.350006,12.787506,10.537506,12.162506,6.912506,13.287506,7.287506,11.537506,8.037506,10.162506,9.787506,14.662506
January,3,10,11.037506,9.912506,14.787506,12.100006,8.850006,6.657501,11.787506,12.537506,10.100006,8.225006,9.725006,9.912506,11.412506,12.350006,9.225006,11.725006,6.725006,12.287506,6.725006,11.225006,6.600006,9.475006,9.850006,14.225006
January,3,11,10.850006,9.662506,14.912506,11.912506,8.600006,6.146698,11.412506,11.787506,10.412506,8.037506,9.725006,9.850006,11.225006,12.100006,9.412506,11.037506,6.600006,11.537506,6.037506,10.787506,5.912506,8.975006,9.600006,13.912506
January,3,12,10.787506,9.350006,14.850006,12.037506,8.537506,5.8874817,11.287506,11.912506,10.725006,7.850006,9.600006,9.725006,11.100006,12.100006,9.537506,11.037506,6.287506,11.350006,5.787506,10.162506,5.287506,8.600006,9.100006,13.537506
January,3,13,10.600006,9.287506,14.850006,12.100006,8.912506,5.7151794,11.100006,12.037506,10.662506,8.225006,9.725006,9.912506,10.912506,12.225006,9.600006,10.850006,6.225006,11.412506,5.662506,9.350006,5.350006,8.412506,9.162506,13.412506
January,3,14,10.662506,9.412506,14.975006,12.287506,9.225006,5.598297,10.912506,11.975006,10.537506,7.912506,9.725006,9.662506,10.787506,12.225006,9.600006,10.225006,6.287506,11.412506,5.287506,8.975006,5.412506,8.287506,8.912506,13.350006
January,3,15,11.287506,10.537506,15.287506,13.162506,9.412506,7.5329285,12.287506,11.475006,10.912506,8.600006,9.912506,10.537506,11.287506,13.287506,10.100006,9.725006,6.787506,11.475006,5.412506,9.037506,5.287506,8.850006,9.350006,13.412506
January,3,16,11.412506,11.600006,15.350006,13.037506,11.537506,8.200104,12.537506,11.600006,12.287506,8.787506,9.725006,11.037506,11.787506,13.225006,10.162506,10.975006,7.037506,12.037506,6.725006,10.100006,5.912506,9.412506,9.662506,13.975006
